날짜,출처,제목,본문 요약 ,URL
5시간,제민일보,[의정칼럼]청정과 안전이 담보되는 평화제주,"이 시점에서 그간 도민 사회의 갈등도 무의미하다, 자영업과 관광업의 눈물도 바라보아야 하기에 이제야말로 도민 사회의 공고한 협력체계가 중요하다. 다시금 제주의 수놀음정신을 발휘하여 도민 스스로 지켜내야 할...",http://www.jemin.com/news/articleView.html?idxno=643893
2020.01.30.,뉴스1,'앵글에 담긴 2019년'…제주도사진기자회 보도사진전,"특히 사회적으로 큰 파장을 일으킨 ‘고유정 살인사건’과 제주 최대 현안으로 논란이 되고 있는 ‘제주 제2공항 갈등’, ‘영리병원 허가 취소’ 등 2019년을 뜨겁게 달군 사안을 사진으로 만날 수 있다. 또 제주도의...",http://news1.kr/articles/?3829165
2020.02.12.,제주일보,"제주항공, 비상경영 넘어 위기경영 체제 돌입",한·일 갈등에 이어 중국발 코로나 19(신종 코로나 바이러스 감염증) 사태로 항공업계가 직격탄을 맞은 가운데 제주항공이 위기경영 체제에 돌입해 자구책 마련에 총력을 기울인다. 제주항공(대표이사 이석주)은...,http://www.jejuilbo.net/news/articleView.html?idxno=139273
2019.11.15.,뉴시스,"제주도의회, '제2공항 갈등 해소' 특위 구성","제주도의회는 15일 오후 본회의를 열고 ‘제주 제2공항 건설 갈등 해소를 위한 특별위원회 구성 결의안’을 재석의원 39명 중 찬성 27명, 반대 2명, 기권 10명으로 가결했다. 이번에 통과한 결의안에는 ‘도민 공론화’라는...",http://www.newsis.com/view/?id=NISX20191115_0000831284&cID=10813&pID=10800
2019.12.16.,연합뉴스,제주도의회 제2공항 갈등해소특위 활동예산 '0원',"원희룡 제주지사, 특위 예산안에 '부동의' 내년 도 예산 5조8천229억원 수정 가결 제주 제2공항 갈등 해결을 위한 제주도의회 특별위원회의 내년도 예산이 결국 반영되지 않아 활동에 차질이 빚어지게 됐다. 도의회는 16일...",http://yna.kr/AKR20191216140100056?did=1195m
,서울신문언론사,오리온 ‘제주용암수’ 하루 300t 국내 판매 합의,‘오리온 제주용암수’의 국내 시판을 놓고 갈등을 겪어 온 제주도와 오리온이 제주용암수 국내 판매 물량을 1일 300t으로 제한하는 식으로 국내 시판에 합의했다. 제주도는 오리온 제주용암수에 용암해수를 공급하는...,https://www.seoul.co.kr/news/newsView.php?id=20200131013006&wlog_tag3=naver
,JTBC언론사,"[맞장토론] 추미애 취임 한 달 평가, 윤석열 갈등 등 남은 과제는?",제주지검장으로 갔어요. 이게 전부 초임검사장들이 가는 자리예요. 그러니까 보복적 성격이 강하다고밖에 볼... 검찰인사를 보고 제주도는 전통적으로 굉장히 기후도 온화하고 경치도 좋은 곳으로 알려져 있지만...,http://news.jtbc.joins.com/article/article.aspx?news_id=NB11932619
2020.02.01.,프레시안,제주도의회 제2공항 갈등해소 특위 道와 협력 합의,한편 제주도의회 제2공항건설 갈등해소특별위원회가 그간 도정과의 대립적 관계에서 모처럼 조성된 도민 갈등해소라는 민생 정치 실현을 위해 머리를 맞대고 있지만 국토부의 확고한 제2공항건설 의지에 부딪쳐 도민...,http://www.pressian.com/news/article.html?no=276284&utm_source=naver&utm_medium=search
2020.02.03.,제주의소리,"""제주의 미래를 준비하는 정치인"" 3전4기 도전",제주지역 최대 갈등현안인 제2공항에 대한 입장과 갈등 해법은. 제2공항 문제는 발상의 전환에서 시작돼야 합니다. 찬성과 반대로 얼룩져서 봉합하기 어려운 상황을 넘어서려면 새로운 해법이 필요합니다. '제주도청을...,http://www.jejusori.net/news/articleView.html?idxno=311379
2019.12.11.,연합뉴스,제주2공항 '도민의견 반영' 국회부대의견으로 갈등해소특위 탄력,이에따라 제주도의회가 추진하는 갈등해소 방안 마련이 탄력을 받을지 주목된다. 11일 제주도의회 등에 따르면 국회는 제2공항 예산안을 통과하면서 부대의견으로 '국토교통부는 제주 제2공항을 추진하면서 도민 갈등...,http://yna.kr/AKR20191211132600056?did=1195m
